Chinese,English
得花,Spend
彩,color
雪诺,Snow
何人,who
任期,term of office
棕榈,palm
枪响,Gun ring
帕尔默,Palmer
防火墙,Firewall
排骨,Ribs
古斯塔夫,Gustaf
破旧,old
张纸,Sheet of paper
毕业典礼,graduation
酕,Bamboo
面包店,bakery
蒙特利尔,Montreal
文物,Cultural relic
竭,exhaust
喝了酒,Drink a wine
一见,one sight
恩爱,Loving
大脚,Big foot
星球大战,Star Wars
少许,a little
第一集,First episode
甫,just
牢记,keep in mind
回忆起,Recall
愛他,love him
身世,life experience
换作,Exchange
球场上,On the court
好几,several
冲过去,Rush
几秒,A few seconds
婚外情,Affair
手放,Hand
太巧,Too
偶,I
选拔,Selection
曰,say
黎巴嫩,Lebanon
斯特林,Sterling
扫射,Scan
進攻,attack
风味,Flavor
割开,Cut off
诠释,Interpretation
未有,Not
衰,decline
开创,Create
冒牌货,Counterfeit
感受一下,Feel it
打電話給,call
荒废,Waste
话筒,microphone
书本,book
祭典,Sacrifice
霜,Frost
塞缪尔,Samuel
恰到好处,Just right
一侧,Side
华伦,Valentinensis
婚戒,Wedding ring
干点,Dry point
读取,Read
乌云,dark clouds
置身,Be placed
壶,pot
点水,Spite water
读数,reading
就照,Take photos photo
训练营,Training Camp
全身而退,Retreat
拉皮条,pimp
作戰,Fight
沉船,Boat
止痛,Pain relief
主題,theme
安德列,Andre
問我,ask me
欴,Bamboo
叛国罪,Crime of treason
装好,set up
诺贝尔奖,Nobel Prize
疑点,Doubt
情势,situation
美美,Beautiful beauty
起因,cause
荐,recommend
密歇根,Michigan
钻头,drill
降下,lower
特长,Very long
层次,level
皇,Emperor
册,book
小流氓,Hooligans
色鬼,goat
游戏机,Game console
清澈,Clear
西洋,Western
动向,trend
辞,Resign
喝彩,Cheer
肉类,meat
靠不住,unreliable
第十三,thirteenth
出人头地,To succeed
伊莲娜,Ilianna
框,frame
驱逐出境,deport
来福枪,rifle
寻宝,Treasure hunt
园子,Garden
沮,Frustrating
先回,First return
不符,Do not match
空着,empty
老爷爷,Grandfather
宿主,Host
敵,enemy
十五岁,Fifteen
妙极了,Great
听闻,Hear
减弱,Weaken
实时,real time
神魂颠倒,God
战事,fighting
无所不知,omniscient
可救,Rescue
敢于,Dare
鬼才,Ghost
信守,abide by
食用,edible
毛毛,Fur
枯燥,dull
贞操,Chastity
宝剑,Sword
右邊,right
航天飞机,space shuttle
得太快,A
赡养费,Alimony
打翻,Overturn
淡水,freshwater
有救,Save
不缺,No shortage
史东,Shidong
教會,church
瘸,lame
伊织,Iwi
两秒钟,Two seconds
租给,Rent
那么回事,Then
千金,Thousand gold
想个,Think
经验丰富,Experience
比克,Bike
潜逃,abscond
伊利亚,Iria
汪,Wing
你永遠,You will always
甜头,Sweet
嘉莉,Carry
誠實,honest
递交,submit
少量,Small amount
僅供,Only
博士学位,Doctoral degree
谢利,Sheli
貸款,loan
真谛,True meaning
之身,Body
雷尼,Renegrate
嗅到,Smell
买好,Bought
灵光,Lingguang
ト,ト
睡前,Before going to bed
阿伯,Aber
复制品,replica
尔菲,Elf
乘船,Boat
老手,veteran
自保,Self-protection
小麻烦,Little trouble
好點,Better
马洛,Mallow
苦苦,Bitter
随时随地,"Anytime, anywhere"
这一关,This level
士官长,Sergeant
不单,Not only
满分,Full points
知識,knowledge
磁铁,magnet
狶,Bamboo
情报员,Intelligence staff
崽子,Scorn
排列,arrangement
热线,hotline
快车,express train
围,Circumference
两只手,Two hands
棒極,great
ﺙ,Bamboo
寄生,parasitic
格洛,Gllow
求情,plead
芬芳,fragrance
附加,Additional
偏要,Union
要放,Put on
推向,Push
這片,this piece
洛奇,Lock
小忙,Busy
说辞,Speech
提拉,Traw
聘用,Hire
拖延时间,Delay time
枪口,muzzle
卵子,egg
候补,Alternate
白领,White collar
瓦西里,Vasily
姥姥,Goblue
二手,second hand
男孩儿,boy
有利于,beneficial to
莎伦,Sharon
公共场合,public area
得主,Winner
轮廓,contour
矼,stone bridge
教科书,textbook
聯盟,alliance
生成,generate
骨肉,flesh and blood
平時,usually
佛教,Buddhism
群山,Mountainous mountain
之處,Circumstance
浸,Immersion
自作聪明,Self-intelligence
喷雾,spray
深情,deep feeling
新闻界,press
逃不出,Can't escape
蒙古,Mongolia
蓝天,Blue sky
走不动,Can't move
两艘,Two ships
规范,specification
苦痛,pain
纳尔逊,Nelson
泣,weep
是給,Give
核武,Nuclearwood
稻草,straw
防水,water proof
身价,Worth
签下,Sign
網絡,The internet
洋人,Foreigner
税务,Taxation
曲目,Track
多于,more than
苗条,slim
開口,Opening
爱德,Edison
场子,Field
涉足,Involve
阿克,Ak
临终,End
自然而然,Naturally
茲,兹
停车位,parking space
摆弄,Play
昆,Kun
页面,page
永存,Forever
水族馆,aquarium
弃权,Abstain
对立,opposition
四条,Four
惨剧,Tragedy
感動,move
八道,Eight
世伯,Shibert
相像,Look like
潮水,tide
加勒比海,Caribbean Sea
協助,assist
帕切科,Pachero
一毛钱,one cent
不为人知,Not known
射箭,Archery
绕过去,Go around
神探,Probe
ド,Bamboo
溜出去,Slip out
林子里,Forestry
运走,Run away
安全措施,Security measures
犹他州,Utah
工資,salary
纸杯,Paper cup
教派,sect
階段,stage
秘密警察,Secret police
它用,It uses
綠色,green
稱呼,call
捆绑,Bundle
洋装,Dress
索取,Request
付不起,Can not afford
转世,Transcend
安托万,Anto Wan
处以,Attend
气喘吁吁,Panting
這並,This
阴毛,Haired hair
陈先生,Mr. Chen
宝马,BMW
幺,youngest
诺兰,Noland
我梦到,I dream of
意识形态,Ideology
奋力,Struggle
芹泽,Cherish
李察,Li Ka
斯博士,Dr. Scientment
半径,radius
斯图亚特,Stuart
吓倒,Intimidate
顶峰,peak
ψ,ψ
冲绳,Okinawa
阿祖,Azu
雷切尔,Reapel
尼诺,Nino
箭头,arrow
法尔,Far
临死前,Before death
会付,Pay
伤脑筋,Hurt
不长,not long
劳勃,Laubu
ニ,ニ
一地,One
残疾人,Disabled
紧急状况,emergency
不二,No two
滑冰,skate
一期,First phase
勇敢的人,brave guy
海登,Hayden
托盘,tray
启用,Enable
执勤,Duty
请接,Please pick
凝视,gaze
粂,Bamboo
铁丝网,Wire
應付,Handle
法典,code
疯掉,Crazy
棒呆,Stick
虏,prisoner
柯林,Collin
捉到,Caught
暴雨,rainstorm
赤道,equatorial
兴奋剂,Stimulant
用具,Utensil
付帐,Pay a bill
守候,Wait
丝袜,Stockings
搖滾,Rock
此话,Tell
藝術家,artist
这活,This live
铁匠,blacksmith
衰竭,Failure
留学,Study abroad
設備,equipment
之事,Things
等等等等,"Etc., etc"
高斯,Gauss
别骗,Don't deceive
看够,Be enough
你活,You live
佩妮,Penny
滚动,scroll
终端,terminal
电话铃,Telephonebell
屬,Belong
不起眼,Incorporate eyes
奥运,Olympics
阉,Castrate
坐以待毙,Sitting
然後再,after that
ﾘ,Bamboo
决定权,Discretion
通灵,Psychic
离得,Destination
泰特,Tate
報道,Report
得病,Get sick
两起,Two
搞不清,Unclear
泪,tears
八百,Eight hundred
救回来,Rescue
递,Hand
前程,future
班里,Banli
纽曼,Newman
推特,Twitter
想学,Want to learn
心率,Heart rate
刚回来,just came back
安全性,safety
长矛,Spear
日日,Date
白金,platinum
五秒,Five seconds
亮光,Shine
记在,Remember
增大,Increase
喂食,Feeding
填充,filling
心理治疗,Psychotherapy
有生之年,Birthday
六千,Six thousand
闺蜜,Girlfriend
没要,Not
利马,Lima
航空母舰,aircraft carrier
视网膜,Retinal film
辛西娅,Csinia
成群,Group
两场,Two games
低语,Low language
攀,climb
堵塞,Block
小道,Small road
查不到,Can't find
攻下,capture
萨斯,Sas
八号,Eighth number
阿瓦,Awa
嚎叫,Howl
侖,Roll
库斯,Kus
我願意,I am willing
事想,Do things
布莱顿,Brighton
奠定,Lay
奥拉,Olala
多尼,Donney
大峡谷,Grand Canyon
红头发,Red hair
贬低,belittle
研制,Develop
嘶,hiss
击打,Hit
对着干,Dry
对白,dialogue
代表团,delegation
帮凶,accomplice
溺死,drowning
想家,homesick
缘分,fate
陛,Rush
身為,Be
類型,type
人品,Character
招手,wave
摄影棚,Studio
修斯,Draw
节约,saving
多多关照,Take more care
不比,Be worth
眼淚,Tears
表决,vote
推荐信,Recommendation letter
产卵,spawning
青睐,Favor
詹姆,Jame
合得来,hit it off
專門,specialized
德瑞,Derry
鑒,Tentative
俄國,Russia
一小块,a small piece
华尔兹,Waltz
褪色,fade
格子,lattice
愚昧,Ignorant
开拓,open up
不疼,Not hurt
日渐,Increasingly
维利,Wili
独居,Living alone
米苏,Mi Su
超强,Superiority
琼恩,Qiong En
撥,dial
周全,comprehensive
纳粹党,Nazi party
高高在上,High high
回心转意,Make angry
乡间,Country
条狗,Dog
饲养,Raise
尝过,Taste
早前,Earnest
数以千计,Numerous
例行公事,Routine
ﺱ,Bamboo
很樂意,pleasure
伯克霍,Berkho
埃斯特,Est
屏蔽,shield
低点,Low point
主修,major
天桥,Overpass
蘸,dip
吉祥物,mascot
异性恋,heterosexuality
十几岁,Teenage
自負,conceited
發生過,happened before
遇难,Die
医护人员,medical personnel
苏利文,Suili
餐巾,napkin
扬声器,speaker
屈克,Quick
大樓,Building
我人,My people
约克,York
大伯,Big
谜语,riddle
胞胎,Cell
让我拿,Let me take
辛克莱,Cincley
疗程,Medication
小傢伙,brat
斯德哥尔摩,Stockholm
癶,Bamboo
这像,This image
脏兮兮,dirty
有效率,Efficient
铝,aluminum
轻率,Tight
袍子,robe
输光,Light
种马,Stallion
ﻯ,Bamboo
统领,Leader
大灾难,Catastrophe
出不来,Come out
那群人,A group of people
惩,Punish
并用,Use
粉絲,fan
霍金斯,Hawkins
科比,Kobe
维达,Vada
重量级,Heavyweight
全校,School
梅西,Messi
毋庸置疑,Be undoubted
分钱,Pencil
麦考伊,McKoo
核磁共振,Nuclear magnetic resonance
决议,resolution
莫名,Inexplicable
所料,Expected
素食,vegetarian diet
伸出手,Reach out
树立,Establish
佩尔,Pell
放心好了,Rest assured
擁抱,Embrace
安格斯,Angers
相会,Meet
顾,Take care of
曼联,Manchester United
好时光,Good time
令人厌恶,Disgust
湖泊,lake
地堡,bunker
奈子,Nap
有话直说,Have something to say
出马,Horses
曬,show
投靠,Put on
累积,accumulation
陷入困境,In trouble
模,mold
若能,If
成百上千,Hundred thousand thousands
艾尔文,Aritin
浴,bath
拍卖会,auctions
蠢驴,ass
创业,Entrepreneurial
庇佑,Bless
贩毒集团,Drug trafficking group
带进,Bring into progress
美月,US moon
课长,Class long
总想,Always wanted
小兵,Small soldier
禾,millet
搞好,Do well
我當,I am
亞當,Adam
差遣,Dispatch
做会,Make a meeting
徒,only
打网球,Tennis
诚信,Integrity
判处,Judgment
漫画书,comic book
绳之以法,Rope
插进去,Insert in
办个,Do one
小店,Store
哭声,Cry
疯婆子,Mad woman
删,delete
祅,Bamboo
黑桃,Black peach
抓緊,pay close attention
艾尔莎,Elsa
踢出去,Kick out
娼妓,prostitute
揽,Take a look
压缩,compression
许个,Perfect
不相干,Unhealthy
高一,High school
行头,Row
哪一,Which one
決心,determination
太妙了,Too much
自个儿,Self
免除,Exempt from
下贱,Lower
旅行社,Travel agency
钢笔,pen
绪花,Penetrating flowers
货真价实,Good value
鎮上,In the town
那道,That
总说,always say
两部,Two parts
第一份,first set
焦糖,caramel
胆怯,timid
铀,uranium
图纸,drawing
批货,Batch
卡萝尔,Carol
不止一次,More than once
里安,Ri'an
發動,launch
碟子,Dish
一事无成,No matter
登船,Ship
才艺,Talent
職責,Responsibility
没关,Not closed
鹤,crane
面目,face
盛会,Grand event
抓人,Arrests
辍学,drop out
彩蛋,Egg
百货公司,Department store
泡茶,Brown tea
联合会,Federation
车顶,Roof
深沉,deep
多情,passionate
î,î
人种,People
多着呢,Much more
飞舞,Flying
弗莱迪,Flety
阿爸,A dad
大坏蛋,Bastard
园艺,gardening
短片,Short film
吉他手,Guitarist
真香,True
十字军,crusader
里会,Hill
言行,words and deeds
丝绸之路,Silk Road
水坝,dam
斯人,Sistone
算算,Calculate account
卡西迪,Cassi
信教,Teach
诚心,sincerity
那面,That
这架,This
货运,Freight
怎知,How know
枪击案,Shock
再待,Restore
处分,Punish
世子,Si
主播,Anly
写诗,Poem
王宫,Palace
思索,thinking
阿诺,Arno
沙克,Satac
赛段,Sequence
砸碎,smash
轻声,Whispering
瞞,conceal
鸟事,Bird
千米,km
想得,Think
雷电,Lightning
流入,Inflow
艾利,Avery
認得,Recognize
红宝石,ruby
繩子,rope
信条,creed
买主,buyer
伯克,Berk
舒,Comfort
螺旋桨,propeller
埃利斯,Ellis
少将,Major
弹簧,spring
嫁妆,dowry
沒人能,No one can
妇人,Woman
解開,Unlock
回報,Reward
归属,Attribute
喷射,injection
扔下去,Throw it down
诺克,Nick
跋,Trek
高級,advanced
搬来,Move
λ,λ
午后,Afternoon
谚语,proverb
别拍,Don't shoot
整栋,Whole
開著,Open
苏格兰人,Scot
斯托克,Stoke
石块,stone
丽娜,Lina
气死我了,I'm furious
出气,Ventilate
十点钟,ten o'clock
羊群,Flock
咱倆,Both of them
而定,Set
谢恩,She En
运动鞋,sports shoes
庫,Library
急切,eager
马来西亚,Malaysia
弄醒,Awake
病历,Medical record
約定,Agreement
十次,ten times
好长,very long
有缘,Have a good time
土著,Indigenous
挥霍,Squander
密度,density
玛塔,Mata
麦肯齐,McKunzi
弗莱彻,Fletcher
路途,Road
鼹鼠,Mole
深信不疑,Convinced
艾丽丝,Alice
维系,Maintain
暴政,tyranny
数学家,Mathematician
筛选,filter
弗雷泽,Freze
格莱美,Grammy
假冒,Fake
有场,Active
一举,In one fell swoop
宗,Sect
闲着,Idle
放人,Put people
乡下人,Country
矫,Resemble
赐福,Bless
吻别,Kiss
圣上,Holy
旗下,Flag
别扯,Don't pull
拍子,beat
硉,Bamboo
火神,Voluntary
几百个,hundreds of
大骗子,big liar
玉米饼,corn cake
コ,Bamboo
情歌,love song
笔钱,Pen
瞳孔,pupil
死得,Die
快過,Faster
半個,Half
用车,Car
如实,Truthful
撬开,Open up
九号,No. 9
股价,share price
创造者,Creator
传奇人物,a legendary person
搏击,Strike
咬掉,Bite
时有,Sometimes
走運,Walk through
信誉,Reputation
現金,cash
高超,superb
共产主义者,Communist
燃油,Fuel
说不清楚,can not say it clearly
弄到手,Get on
两侧,Both sides
赛车手,racer
发生意外,accident
探视,Visit
特里普,Trip
觀點,View
辖区,Jurisdiction
公演,Premiere
喜翠庄,Wing
弄个,Get a
刚果,Congo
灌木,shrub
星巴克,Starbucks
倖,fortunate
螘,ant
煤炭,coal
伯德,Bird
巴斯克,Basque
赛德,Saide
堤,embankment
身躯,Body
嚇死,Scare
一向如此,Always like this
醫療,Medical care
山寨,Copycat
商讨,discuss
晴朗,sunny
晚期,Late stage
乐在其中,enjoying the moment
试用,try out
别开,Not open
尿床,Urine
很困,Sleepy
比萨饼,Pizza
投掷,Throw
前不久,Shortly
帕克斯,Parx
削,cut
广州,Guangzhou
大黄蜂,Bumblebee
取得联系,get in touch
汗水,Sweat
美式,American
夫斯基,Pski
剪断,shear
雪球,Snowball
怒吼,roar
酒会,Wine
吃素,Vegetarian
调度,Dispatch
托克,Toke
读懂,Understand
插曲,episode
一段路,Paragraph
圣保罗,Sao Paulo
之母,mother of
手机号码,mobile phone number
广告牌,billboard
波罗,Polo
格里格,Grid
換,Change
绝大多数,Vast majority
氣氛,atmosphere
校车,school bus
分支,Branch
我载,I load
竡,Bamboo
蔡,Cai
这桩,This pile
紫罗兰,Violet
戒严,Martial law
宛如,Like
喝掉,Drink
是我太,I am too
凭空,out of thin air
太监,Eunuch
雪崩,avalanche
辭職,Resign
挥,Wave
维纳斯,Venus
快救,Rescue
彼岸,the other side
冲出去,rush out
一生一世,A lifetime
麥,wheat
賣給,Sell
创世,Creation
指手画脚,Perspective
卢瑟,Luser
衣裳,clothes
呜呜,呜呜
上樓,Upper floor
读到,Read
區別,the difference
互相残杀,blood bath
血缘关系,blood relation
男仆,butler
实质,substance
一丝不挂,A wire does not hang
褫,strip
豪哥,Luxury
悲劇,tragedy
缠身,Honest
安检,Security inspection
纱,yarn
費,fee
街坊,neighborhood
你常,You often
没上,Not on
神经系统,nervous system
哇哇,Wow
蹂躏,Devastate
康纳斯,Connation
哉,Wonder
消散,dissipate
二十个,Twenty
推车,Cart
玛妮,Manne
另一名,Another one
开门见山,Open the door to see the mountain
糕点,pastry
逐步,Gradually
安顿下来,settle down
有染,Dyed
保护费,Protection fees
东海岸,East Coast
廣場,square
浑球,Balloon
超凡,extraordinary
蓝眼睛,blue eyes
批,Batch
出众,Outstanding
抓起,Catch up
选个,Choose
金姆,Jindum
玩够,Have enough fun
纯正,pure
白昼,White
丁丁,Ding Ding
瓦伦,Valen
进过,Entered
广岛,Hiroshima
哥本哈根,Copenhagen
万里,Miles
要换,Have to change
此前,Previous
害得,Harmful
令人吃惊,Surprisingly
就读,Attend
肉眼,Naked eye
解体,disintegration
有张,Zhang
真难,Really difficult
放射,radiation
自尽,Go own
派瑞,Pres
悠,Leisurely
死心,Dead heart
苦衷,Hardship
重头,Heavy head
我手,my hand
四万,forty thousand
山头,Hill
德克萨斯州,Texas
善事,Good deeds
真坏,Really bad
几步,A few steps
忌妒,Jealous
保险金,Insurance
台灣,Taiwan
陈年,Aged
待过,Stay
拦下,Stop
三角形,triangle
秃鹫,Vulture
惬意,Be satisfied
喳,twitter
这款,This
莉莉丝,Lili
辨识,Identify
全完,Finish
也罢,Also
死鬼,devil
崩潰,collapse
戏法,trick
一等,First-class
梅兰,Melland
考特,Cart
看招,watch out
海尔,Haier
没得选,Not available
四块,Four pieces
出其不意,Unexpected
游侠,Ride
老千,Young
化成,Formation
正因如此,Therefore
挤压,extrusion
最佳人选,The best candidate
村上,Village
我勒个,I am
浮出,Float
头皮,scalp
高原,plateau
能来,You can come
转头,Turn head
猿,ape
下辈子,Next life
北约,NATO
番,Darther
低音,bass
ホ,Bamboo
鼓勵,encourage
财团,Consortium
熨,Iron
蠢话,Stupid
ゝ,Bamboo
毫无用处,Useless
锚,anchor
十块,Ten pieces
听命于,Heal
頭上,Head
一万元,Ten thousand yuan
博物,Museum
科克,Cork
陆,land
传送门,Portal
咻,call out
水落石出,Water falls
作画,Painting
警校,Police school
自作自受,Self-contained
我换,I change
站岗,Stand guard
全市,Citywide
口吃,Mouth
載,load
我太爱,I love too much
墨索里尼,Mussolini
支枪,Branch
醒來,wake up
进而,and then
小山,Hill
關照,care
深切,deep
色拉,Pull
里亚蒂,Riati
聚聚,Gather
精疲力竭,Exhausted
分量,Component
发热,fever
史前,prehistoric
魔镜,Mirror
蘇聯,Soviet Union
劑,Agent
交手,Make a hand
停顿,pause
降生,Birth
泄气,discouraged
长途,long haul
預備,preparation
胸腔,Chest
普林斯顿,Princeton
号车,Car
德兰,Dech
塔利,Talley
芳心,Heart
招人,hiring
罙,Bamboo
越界,Crossed world
陪你玩,Play with you
看一遍,Look
一次次,Again and again
性高潮,Climax
敷衍,Perfunctory
刀锋,Blade
查派,Check
百分之,percent
醉醺醺,Drunken
生态,Ecology
爬行,crawl
蛋黄酱,mayonnaise
醒目,Strike
怀中,Among
开路,open circuit
飞镖,Darts
確信,Confident
真替,Really
璉,Bamboo
领悟,Comprehension
臭屁,Stinky
不笨,Not stupid
胶囊,capsule
洗衣房,laundry room
科曼,Kumman
康斯坦,Constant
汤匙,Spoon
气泡,bubble
溫暖,warmth
想問,Want to ask
迪斯,Disco
甜食,Sweet
党派,partisan
欢快,Cheerful
霸王,Overlord
抛锚,anchor
默契,tacit agreement
麻醉剂,Anesthetic
管得,Manage
孟山都,Menshan
拉吉,Raji
墳,grave
暂且,for the time being
回房,Back home
年老,Old age
越来越少,Fewer and fewer
小红帽,little Red Riding Hood
消防车,Fire truck
十七岁,Seventeen
朗姆酒,rum
睦,Harmonious
漢娜,Hannah
霍顿,Horton
作伴,Companion
快艇,Speedboat
怀旧,Nostalgia
高傲,arrogant
丝带,Ribbon
膝,knee
迷雾,Foggy
表達,Express
裝置,Device
崆,Bamboo
绕道,detour
十几个,more than ten
小儿子,Little son
快放,Express
有權,Right
竖,vertical
撤走,withdraw
钻井,Drilling
库拉,Kura
隔离区,quarantine area
穿衣,dressing
伦理,ethics
首位,first place
事端,Event
浓缩,concentrate
古城,Ancient city
面麻,Faculty
极力,Strong
哈迪斯,Hades
喇嘛,Lama
康斯坦丁,Constantine
多利,Dolly
一筆,A pen
敷,apply
呣,Bamboo
渔船,Fishing boat
科罗拉多,Colorado
午睡,Nap
穿件,Wear
終于,finally
幸运儿,Lucky
珍妮弗,Jennifer
内地,Mainland
數字,number
无影无踪,No traceful
号机,Machine
臂,arm
连个,even
还用说,Also use it
张大,Large
对得起,Worthwhile
恶行,Evil
回覆,Reply
嚯,Bamboo
斯宾塞,Spinset
一陣子,for a while
我主,My master
充满活力,Energetic
幻覺,Illusion
宝贝女儿,Baby daughter
买房子,buy house
牢固,firm
柯特,Curt
包抄,outflank
击溃,Defeat
大山,Mountain
顶替,replace
好闻,Good news
瘀伤,Sputum
写个,Write one
塔玛拉,Tamara
账本,Accountbook
肢解,Dismember
ю,bamboo
买回来,Buy it back
闷闷不乐,Unpleasant
适可而止,Cante
溶解,Dissolve
佰,佰
收尾,ending
安德里,Andri
耗费,Consumption
放水,Put water
心脏病发,Cardiac
簽字,signature
坍塌,Collapse
真相大白,Truth
库存,in stock
潜能,Potential
牵涉到,Involved
亲友,Relatives and friends
截获,Intercepted
併,and
答覆,reply
冲走,Rush away
定论,Conclusion
撑下去,Put down
危機,crisis
牵制,contain
引人注意,Attract
此类,Such
已到,Arrived
巡查,Inspection
五名,Five
倒不如,Be better than
经济学,economics
划分,Divide
金錢,money
电锯,Chainsaw
走過,Pass through
射精,Ejaculation
汉密尔顿,Hamilton
框架,frame
鬼呀,Ghost
低俗,Vulgar
密集,Intensive
独占,Exclusive
学了,learned
节拍,Beat
几块,Several pieces
我超,I am super
请柬,Invitation
冲到,Rush to
没话说,Nothing to say
笛手,Flute
假設,Assume
斌,Bin
服裝,clothing
卧倒,Bedding
哪会,Which
肥肉,Fat
卡曼,Kaman
峰会,Summit
庄稼,Crop
栖息地,Habitat
酥,Crispy
从小到大,From small to large
甜菜,beet
搭理,Take care of
我往,I
俗气,Vulgar
听觉,Hearing
赝品,Counterfeit
确凿,conclusive
本庭,In the court
伊莎,Isa
雷斯,Leis
孟菲斯,Memphis
构想,Conceive
控制系统,Control System
你学,You learn
肉身,Flesh
蔡斯,Chasis
香气,aroma
今年夏天,this summer
电磁,electromagnetic
幸會,Fortunately
荒芜,barren
痒痒,itch
回旋,Cyclone
错失,Miss
全體,All
婭,Ya
嘴边,Mouth
老掉牙,Old tooth
积雪,snow
屠宰,slaughter
ｿ,Bamboo
変,Bamboo
西蒙妮,Simoni
珠宝店,Jewelry Shop
涡轮,turbine
典范,model
电网,Grid
银幕,screen
破晓,breaking Dawn
打打,Play
串通,Collude
军服,uniform
库什,Kush
ë,ë
交接,Handover
奥克兰,Auckland
飞机场,airport
购,purchase
嗡嗡,嗡嗡
即使如此,even so
内华达,Nevada
州政府,State Government
抓来,Catch
莱斯利,Lesley
卡拉汉,Kalahan
景观,landscape
打炮,Gun
琜,Bamboo
斯蒂尔,Still
妹夫,Brother
采纳,adoption
磅重,Pound
交友,make friends
爱莉,Alice
按摩师,masseur
心靈,soul
老古董,Old antique
血债,Blood debt
健美,Bodybuilding
发臭,smell
地向,In place
援军,Assistant
黑匣子,Black box
水库,Reservoir
炮兵,artillery
日程表,schedule
武,Martial arts
颗粒,Particle
樓梯,stair
倒回去,Go back
啤,beer
梵高,Van Gogh
莲花,lotus
辅,auxiliary
前要,Before
浪潮,wave
传讯,Message
蘇珊,Susan
萌,Cute
多棒,Great
对头,Opposite
南极洲,Antarctica
臭虫,bed bugs
濒临,Be on the verge of
追不上,Can't catch up with
潮汐,tidal
一瞬,A moment
蓝领,Blue collar
摆好,Put
令人不安,Disturbing
几百,several hundred
远远不够,Far from enough
用词,Use words
索达,Soda
沧,Citizen
农庄,farm
罗宾逊,Robinson
这不像,This is not like
当铺,pawnshop
粮,grain
窮,poverty
射穿,Shot
签订,Sign
傷,hurt
迫不得已,Can't
阿孝,Amia
適應,Adapt
茱蒂,Judi
巴掌,hand
勇猛,Brave
软禁,Cradle
伸直,Straighten
打喷嚏,sneeze
议程,Agenda
心软,Soft
海港,harbor
攪,stir
萨克斯,Saxophone
桩,pile
县长,Magistrate
第三者,third party
刀疤,Knife
撞坏,Crash
神迹,miracle
双人,Double
听得,Hear
暗影,shadow
顺眼,Pleasantly
呼救,Call for help
防范,Prevention
麦尔斯,Merrs
滚石,Rolling stone
不正,Unhappy
亚历克,Alex
前额,forehead
很慢,very slow
仅剩,Only left
吉安,Ji'an
主義,Firm
重创,Revise
一千元,A thousand yuan
迎合,cater
化学物质,Chemical material
ㄨ,ㄨ
旺,Prosperity
专属,Exclusive
小腿,Calf
多夫,Plus
有助,Help
影星,Movie star
两头,Two heads
瑞拉,Rura
披肩,shawl
座标,coordinate
阿玛,Ama
打鼓,Drum
全额,Full amount
苤,kohlrabi
隔绝,Isolated
捡回来,Come back
睿,Rural
千元,Thousand yuan
大石,Big stone
派特,Pitt
衰人,loser
三十岁,Thirty years old
雜種,Hybrid
節,Festival
大点,bigger
待會,Later
本校,School
朋友家,friend's house
一味,Flavor
重叠,overlapping
受雇,Be employed
用水,Water
星辰,Star
送行,Send
お,Bamboo
民,civil
救護車,ambulance
路易斯安那州,Louisiana State
遣送,Send
当代,Contemporary
己经,already
巨头,Giant
评论家,critic
审核,Review
定制,custom made
聞,smell
沦陷,Fall into enemy
辛辛那提,Cincinnati
喷发,Erupt
没长,No longer
毛泽东,Mao Zedong
粗心,careless
往里,Inward
贝尔法斯特,Belfast
危,Critical
芽,bud
帶上,Bring on
リ,Bamboo
哈勃,Hubble
天涯海角,End of the earth
远足,Hiking
殺案,Murder
手提,portable
挫败,defeat
練,practice
杰利,Jerry
理发店,Barber Shop
食言,Reply
失踪人口,Missing population
发自内心,Originate
第二集,Second episode
原位,Original position
传授,teach
红衣主教,Cardinal
活下,Live
萧,Boy
放个,Put one
表示感谢,Express thankfulness
光明正大,Bright
老媽,Mom
蛆,maggot
小女,Little girl
史莱克,Shrek
能查,Can check
司法部长,Judicial minister
藏身之处,Hide
过个,Pass
许久,for a long time
血样,Blood sample
贝塔,Beta
鲁尔,Ruer
完好无损,Intact
海风,sea ​​breeze
整合,Integration
阳性,Positive
白血病,leukemia
經營,Manage
湿润,Wet
法兰克福,Frankfurt
全然,completely
来源于,Originate from
高端,High-end
小甜甜,Little sweet
摄制组,filming team
火葬,cremation
膀胱,bladder
放上去,Put up
华德,Warde
奢望,Luxurious
查斯,Charas
血淋淋,Bloody
阿福,Afu
靴,Boots
支离破碎,Bracket
着装,Dress
寻,Searching
出乎,Be out of date
布列塔尼,Brittany
比安卡,Bi Anka
小王子,little Prince
空空,Empty
最远,Farthest
佩特,Perrt
上限,Upper limit
知识分子,Intellectual
兜兜风,Pocket
发电,Power generation
背影,Back
战区,Theater
说件,Say
逸,Esteem
茶壶,teapot
特价,Special offer
屁用,Fart
通話,call
赻,Bamboo
而己,With oneself
另一侧,The other side
普特,Putt
球杆,Club
福气,Blessing
投资人,Investors
掀,lift
难以忍受,Unbearable
夏曼,Xiaman
铜板,Copper plate
餐桌上,On the table
葡萄干,raisin
若想,If you want
特蕾莎,Teisha
一頭,Ahead
巅峰,peak
焕然一新,Apless
不省人事,Unpaid personnel
荷莉,Gutty
八婆,Eighth
原著,original
忧愁,sad
曼蒂,Manrt
吽,Bamboo
煩惱,trouble
藝恩,Enritable
扬,Raise
劝劝,Persuade
转给,Go to
我加,I added
适宜,suitable
中西部,Midwest
