,Chinese,English,Pinyin
17474,天赐,Gave,tiāncì
17475,邻居们,neighbors,línjūmen
17476,铁链,Iron chain,tiěliàn
17477,花光,Flower light,huāguāng
17478,美满,happy,měimǎn
17479,我个,I,wǒge
17480,柄,handle,bǐng
17481,圣城,Holy city,shèngchéng
17482,为主,Mainly,wéizhǔ
17483,惹恼,Annoy,rěnǎo
17484,搞鬼,Gallter,gǎoguǐ
17485,養,keep,yǎng
17486,成不了,Can't get,chéngbuliǎo
17487,嬉皮,Hippie,xīpí
17488,他出,He,tuòchū
17489,娥,Pretty,é
17490,毛茸茸,hairy,máorōngrōng
17491,關門,close the door,guānmén
17492,強姦,rape,qiángjiān
17493,这词,This word,zhècí
17494,彻,thorough,chè
17495,逆转,reverse,nìzhuǎn
17496,论坛,forum,lùntán
17497,万无一失,Unlucky,wànwúyīshī
17498,好萊塢,Hollywood,hǎoláiwù
17499,廳,hall,tīng
17500,安详,serene,ānxiáng
17501,大亨,Tycoon,dàhēng
17502,太吵,Tooard,tàichǎo
17503,逼真,lifelike,bīzhēn
17504,妻儿,Wife and children,qīér
17505,那架,That,nàjià
17506,性病,Sexually transmitted disease,xìngbìng
17507,舞池,Dance pool,wǔchí
17508,守规矩,Observance,shǒuguīju
17509,讀書,read,dúshū
17510,而活,Live,érhuó
17511,归于,Attribute,guīyú
17512,有否,Whether,yǒufǒu
17513,小菜,Small dish,xiǎocài
17514,不能容忍,Cannot tolerate,bunéngróngrěn
17515,兴致,interest,xìngzhì
17516,马利亚,Mary,mǎlìyà
17517,变更,change,biàngēng
17518,海伦娜,Helena,hǎilúnnuó
17519,理論,theory,lǐlùn
17520,受益,Benefit,shòuyì
17521,很美,Very beautiful,hěn měi
17522,場,field,chǎng
17523,地名,Place name,dìmíng
17524,内华达州,Nevada,nèihuádázhōu
17525,最後一個,the last one,zuìhòu yīgè
17526,业绩,Performance,yèjì
17527,礹,Bamboo,礹
17528,烟灰缸,ashtray,yānhuīgāng
17529,洛伦佐,Lorenzo,luòlúnzuǒ
17530,我答,I answer,wǒdá
17531,赔钱,Lose money,péiqián
17532,缠住,Entangle,chánzhù
17533,被车撞,hit by a car,bèichēzhuàng
17534,身陷,Trap,shēnxiàn
17535,点前,Pre-point,diǎnqián
17536,宝座,throne,bǎozuò
17537,驾到,Drive,jiàdào
17538,休息时间,Break time,xiūxíshíjiān
17539,梅林,Merlin,méilín
17540,太過,Too much,tàiguò
17541,纳税人,taxpayer,nàshuìrén
17542,大米,Rice,dàmǐ
17543,心疼,Distress,xīnténg
17544,优,excellent,yōu
17545,错事,Misfortune,cuòshì
17546,秋季,autumn,qiūjì
17547,入场,Admit,rùchǎng
17548,封住,Seal,fēngzhù
17549,部門,Department,bùmén
17550,化疗,Chemotherapy,huàliáo
17551,平庸,mediocre,píngyōng
17552,雷曼,Lehman,léimàn
17553,猧,Bamboo,wō
17554,拘束,Restrain,jūshù
17555,阿多,Ado,āduō
17556,不熟,Unfold,bù shú
17557,难以想象,Unimaginable,nányǐxiǎngxiàng
17558,都給,All give,dūgěi
17559,小说家,novelist,xiǎoshuōjiā
17560,盖世太保,Gay Taiko,gàishìtàibǎo
17561,偷车,Steal,tōuchē
17562,无从,No,wúcóng
17563,圆满,Successfully,yuánmǎn
17564,伸进,Reach,shēnjìn
17565,卡米拉,Kamilla,kǎmǐlā
17566,平靜,calm,píngjìng
17567,车是,Car,chēshì
17568,伦纳德,Lennad,lúnnàdé
17569,好极,excellent,hǎojí
17570,画得,Draw,huàde
17571,收好,Keep it,shōu hào
17572,主菜,main course,zhǔcài
17573,数不清,countless,shǔbùqīng
17574,舉行,Hold,jǔxíng
17575,听来,Listen,tīng lái
17576,禣,Bamboo,禣
17577,加西亚,Garcia,jiāxīyà
17578,哼哼,Humming,hēngheng
17579,嚇到,Scare,xià dào
17580,眼线,Eyeliner,yǎnxiàn
17581,强者,Strong,jiàngzhě
17582,菲利普斯,Phillips,fēilìpǔsī
17583,板球,cricket,bǎnqiú
17584,别扭,awkward,bièniu
17585,少林,Shaolin,shàolín
17586,每条,Each,měitiáo
17587,智者,Wise,zhìzhě
17588,美好时光,good time,měihǎoshíguāng
17589,坏孩子,Bad child,huàiháizǐ
17590,å,å,å
17591,ﺢ,Bamboo,ﺢ
17592,門口,Entrance,ménkǒu
17593,躲到,Hide,duǒdào
17594,角度看,point of view,jiǎodùkàn
17595,最能,Most,zuìnéng
17596,阴险,insidious,yīnxiǎn
17597,迴,Back,huí
17598,贪污,corruption,tānwū
17599,树丛,Grove,shùcóng
17600,正题,Issue,zhèngtí
17601,那还用说,of course,nàháiyòngshuō
17602,岸,shore,àn
17603,慈善机构,Charity,císhànjīgòu
17604,拉娜,Lana,lānuó
17605,克林顿,Clinton,kèlíndùn
17606,伯顿,Burton,bódùn
17607,湯米,Tommy,tāngmǐ
17608,张床,Bed,zhāngchuáng
17609,党员,Party member,dǎngyuán
17610,最出色,Best,zuìchūshǎi
17611,全人类,All mankind,quánrénlèi
17612,布鲁,Bru,bùlǔ
17613,遗漏,Missed,yílòu
17614,有所不同,Different,yǒusuǒbùtóng
17615,啊呀,Oh,āyā
17616,猎食,prey,lièshí
17617,结盟,Alliance,jiéméng
17618,腫瘤,Tumor,zhǒngliú
17619,必死无疑,Doubt,bìsǐwúyí
17620,绊,trip,bàn
17621,云层,Clouder,yúncéng
17622,只怕,Be afraid,zhǐpà
17623,卵,egg,luǎn
17624,触及,touch,chùjí
17625,產生,produce,chǎnshēng
17626,喂养,feed,wèiyǎng
17627,随从,From,suícóng
17628,铃铛,Bell,língdang
17629,阳具,Mask,yángjù
17630,一列,a row,yīliè
17631,高价,High price,gāojià
17632,阳光灿烂,sunny,yángguāngcànlàn
17633,失常,Disorder,shīcháng
17634,佩奇,Page,pèiqí
17635,这堆,This pile,zhèduī
17636,割伤,Cut,gēshāng
17637,看错,Mistake,kàn cuò
17638,大聲,Loud,dàshēng
17639,专,Specialize,zhuān
17640,面貌,face,miànmào
17641,救火,Rescue,jiùhuǒ
17642,更惨,Miserable,gēngcǎn
17643,过河,Cross the river,guòhé
17644,闲,idle,xián
17645,牢牢,firmly,láoláo
17646,鑽石,Diamond,zuànshí
17647,沙织,Sanding,shāzhī
17648,不能自己,Cannot,bunéngzìjǐ
17649,高估,Break up,gāogū
17650,套餐,combo,tàocān
17651,私自,privately,sīzì
17652,妳们,Wear,nǎimen
17653,牢笼,cage,láolóng
17654,圣杯,Holy cup,shèngbēi
17655,手袋,Handbag,shǒudài
17656,黑名单,blacklist,hēimíngdān
17657,托斯,Tuster,tuōsī
17658,抽泣,Sobbing,chōuqì
17659,確,Indeed,què
17660,會來,will come,huìlái
17661,寄托,Pin,jìtuō
17662,浮,float,fú
17663,破事,Break away,pòshì
17664,哈斯,Has,hāsī
17665,节食,Diet,jiéshí
17666,别胡说,Don't say,biéhúshuō
17667,点好,Good point,diǎnhǎo
17668,不及格,failed,bùjígé
17669,断裂,fracture,duànliè
17670,没动,Do not move,méi dòng
17671,粉刷,paint,fěnshuā
17672,打擊,Strike,dǎjī
17673,莉雅,Lily,lìyǎ
17674,快餐,fast food,kuàicān
17675,帮不上,Can't help,bāngbushàng
17676,中文字幕,Chinese subtitle,zhōngwénzìmù
17677,率领,Lead,shuàilǐng
17678,当众,in public,dāngzhòng
17679,小哥,Bro,xiǎogē
17680,马驹,Foal,mǎjū
17681,令人讨厌,Annoying,lìngréntǎoyàn
17682,热烈欢迎,Warm welcome,rèlièhuānyíng
17683,诚挚,sincere,chéngzhì
17684,认识一下,Getting acquainted,rènshíyīxià
17685,多疑,suspicious,duōyí
17686,心理学家,psychologist,xīnlǐxuéjiā
17687,大国,Big country,dàguó
17688,蓝调,Blue-tone,lándiào
17689,前輩,senior,qiánbèi
17690,姊,Sister,zǐ
17691,七十,seventy,qīshí
17692,一桶,A barrel,yītǒng
17693,不動,Do not move,bù dòng
17694,胡乱,casually,húluàn
17695,战队,Team,zhànduì
17696,病倒,Ill,bìngdǎo
17697,照常,as usual,zhàocháng
17698,霍夫曼,Hofman,huòfūmàn
17699,攻势,offensive,gōngshì
17700,柯克,Kirk,kēkè
17701,浇,Pour,jiāo
17702,打篮球,play basketball,dǎlánqiú
17703,竟是,Actually,jìngshì
17704,供应商,supplier,gōngyìngshāng
17705,熄灯,Turn off the light,xīdēng
17706,母鸡,hen,mǔjī
17707,你试,You try,nǐshì
17708,小鹿,Deer,xiǎolù
17709,坎贝尔,Campbell,kǎnbèiěr
17710,赞扬,Praise,zànyáng
17711,铜,copper,tóng
17712,再试,Try again,zàishì
17713,相隔,Section,xiānggé
17714,互相帮助,Helping each other,hùxiāngbāngzhù
17715,木马,Trojan,mùmǎ
17716,唸,read,niàn
17717,工匠,artisan,gōngjiàng
17718,尘埃,dust,chénāi
17719,艾斯,Ace,àisī
17720,兄长,Brother,xiōngzhǎng
17721,科里,Corey,kēlǐ
17722,警力,Police force,jǐnglì
17723,乔尼,Jonny,qiáoní
17724,无意识,unconscious,wúyìshí
17725,尔比,Elby,ěrbǐ
17726,教友,Teacher,jiàoyǒu
17727,雷米,Remy,léimǐ
17728,吃亏,Lose a loss,chīkuī
17729,石膏,plaster,shígāo
17730,着凉,Catch cold,zháoliáng
17731,连结,link,liánjié
17732,全身心,Full body and mind,quánshēnxīn
17733,太笨,Be too stupid,tàibèn
17734,空洞,Void,kōngdòng
17735,僧侣,monk,sēnglǚ
17736,挠,scratch,náo
17737,一路平安,All the way safe,yīlùpíngān
17738,嘟,beep,dū
17739,班杰明,Bangjieming,bānjiémíng
17740,熔岩,Lava,róngyán
17741,手足,Handiness,shǒuzú
17742,关了,closed,guān le
17743,保时捷,Porsche,bǎoshíjié
17744,搞垮,Get down,gǎokuǎ
17745,搜身,search,sōushēn
17746,不同寻常,unusual,butóngxúncháng
17747,甲虫,beetle,jiǎchóng
17748,据点,stronghold,jùdiǎn
17749,許會,Submit,xǔhuì
17750,饲料,feed,sìliào
17751,律法,Law,lǜfǎ
17752,艾格尼丝,Egny,àigénísī
17753,默斯,Merco,mòsī
17754,赌局,gambling,dǔjú
17755,仙人掌,Cactus,xiānrénzhǎng
17756,轉過,Turn over,zhuǎnguò
17757,我发,I hand out,wǒfā
17758,时见,Time see,shíjiàn
17759,拘留所,Detention center,jūliúsuǒ
17760,不帮,Not help,bubāng
17761,调戏,Tun,tiáoxì
17762,不同于,Unlike,butóngyú
17763,很配,Very fit,hěnpèi
17764,接生,Receive,jiēshēng
17765,庭院,patio,tíngyuàn
17766,阿利,Aimi,ālì
17767,很赞,thumbs up,hěnzàn
17768,汉普顿,Hampton,hànpǔdùn
17769,除外,except,chúwài
17770,杰拉德,Gerard,jiélādé
17771,前两天,Two days before,qiánliǎngtiān
17772,揭,Unveiled,jiē
17773,时要,Time,shíyào
17774,何塞,Jose,hésāi
17775,艾萨克,Aisac,àisàkè
17776,要付,Be paid,yào fù
17777,绣,Embroidery,xiù
17778,一般来说,Generally,yībānláishuō
17779,袋鼠,kangaroo,dàishǔ
17780,上菜,Crash,shàngcài
17781,孤零零,Solitary,gūlínglíng
17782,坐好,Sit down,zuò hào
17783,帕姆,Pom,pàmǔ
17784,辞掉,Resign,cídiào
17785,善待,Kind,shàndài
17786,趾,toe,zhǐ
17787,爱慕,Admire,àimù
17788,法拉,Fara,fǎlā
17789,出人意料,Unexpectedly,chūrényìliào
17790,抓获,Capture,zhuāhuò
17791,莫大,Great,mòdà
17792,行军,march,xíngjūn
17793,堕,fall,duò
17794,馆长,curator,guǎnzhǎng
17795,害虫,Pest,hàichóng
17796,少见,Rare,shǎojiàn
17797,放映,show,fàngyìng
17798,展会,Exhibition,zhǎnhuì
17799,车臣,Chechen,chēchén
17800,大幅,Large,dàfú
17801,走人,Walk away,zǒu rén
17802,觉着,Feel,juézháo
17803,美术,art,měishù
17804,满怀,Full,mǎnhuái
17805,我妹,My little girl,wǒmei
17806,嬉皮士,hippie,xīpíshì
17807,毛主席,Chairman Mao,máozhǔxí
17808,煎蛋,Fried egg,jiāndàn
17809,射擊,shooting,shèjī
17810,计票,Counting,jìpiào
17811,贾宝玉,Jia Baoyu,jiǎbǎoyù
17812,庙,temple,miào
17813,存钱,Save money,cúnqián
17814,凯布,Kagne,kǎibù
17815,列宁,Lenin,lièníng
17816,凯萨琳,Caisaline,kǎisàlín
17817,音量,volume,yīnliàng
17818,无可救药,Unhappy,wúkějiùyào
17819,不公,unfair,bùgōng
17820,财物,property,cáiwù
17821,课上,in lesson,kèshàng
17822,向右转,turn right,xiàngyòuzhuǎn
17823,房门,Door,fángmén
17824,證,certificate,zhèng
17825,兰特,Rand,lántè
17826,詹妮,Jenny,zhānnī
17827,阿梅,Ame,ēméi
17828,脚本,script,jiǎoběn
17829,斯蒂文,Steven,sīdìwén
17830,毒气室,gas chamber,dúqìshì
17831,秘密武器,Secret weapon,mìmìwǔqì
17832,泉水,spring,quánshuǐ
17833,家事,Family event,jiāshì
17834,外形,shape,wàixíng
17835,性侵犯,Sexual assault,xìngqīnfàn
17836,黄飞鸿,Huang Feihong,huángfēihóng
17837,点菜,Order dishes,diǎncài
17838,山米,Mountain rice,shānmǐ
17839,卡车司机,truck driver,kǎchēsījī
17840,流口水,drool,liúkǒushuǐ
17841,对阵,Contrast,duìzhèn
17842,太短,Be too short,tàiduǎn
17843,剛好,just,gānghǎo
17844,出力,Expensive,chūlì
17845,牲口,Farm animal,shēngkou
17846,凛,cold,lǐn
17847,支出,expenditure,zhīchū
17848,垂直,vertical,chuízhí
17849,優,excellent,yōu
17850,绵羊,sheep,miányáng
17851,典狱长,Long prison,diǎnyùzhǎng
17852,泉,spring,quán
17853,招数,Trick,zhāoshù
17854,侍卫,Guard,shìwèi
17855,阿强,A strong,ējiàng
17856,攀登,the climb,pāndēng
17857,可夫,Cave,kěfū
17858,搅和,Stir up,jiǎohuo
17859,大都,Most,dàdū
17860,西海岸,West coast,xīhǎiàn
17861,何等,Why,héděng
17862,萨米,Sami,sàmǐ
17863,开采,Mining,kāicǎi
17864,剧组,Crew,jùzǔ
17865,作何,What,zuòhé
17866,ﻵ,آ,ﻵ
17867,锡,tin,xī
17868,汉城,Seoul,hànchéng
17869,過分,Overflow,guòfèn
17870,拉尔,Lal,lāěr
17871,榮譽,honor,róngyù
17872,驱魔,Demon,qūmó
17873,罗嗦,Riot,luōsuo
17874,清静,quiet,qīngjìng
17875,雷诺兹,Renoz,léinuòzī
17876,毁灭性,Devastating,huǐmièxìng
17877,绘,painted,huì
17878,妥,Proper,tuǒ
17879,忙活,Busy,mánghuo
17880,洋子,Produce,yángzǐ
17881,罗马帝国,Roman Empire,luómǎdìguó
17882,衝動,impulse,chōngdòng
17883,跳水,diving,tiàoshuǐ
17884,遵照,Follow,zūnzhào
17885,机翼,Wing,jīyì
17886,改过自新,Rehabilitation,gǎiguòzìxīn
17887,冒牌,Counterfeit,màopái
17888,联谊会,Association,liányìhuì
17889,海峡,Strait,hǎixiá
17890,艇长,Boat length,tǐngzhǎng
17891,詹妮弗,Jennifer,zhānnīfú
17892,予以,Give,yǔyǐ
17893,安妮塔,Anneta,ānnītǎ
17894,続,Bamboo,xù
17895,修士,Monk,xiūshì
17896,丘,mound,qiū
17897,收声,Shut up,shōushēng
17898,他教,He teaches,tuòjiào
17899,控制权,Control,kòngzhìquán
17900,足球队,football team,zúqiúduì
17901,棒棒,Great,bàngbàng
17902,环游世界,Tour world,huányóushìjiè
17903,破门而入,Break the door,pòménérrù
17904,死胡同,dead end,sǐhútòng
17905,列为,Be listed as,lièwéi
17906,旁白,Narrate,pángbái
17907,停停,Stop,tíngtíng
17908,无济于事,No-topile,wújìyúshì
17909,速战速决,Fast war,sùzhànsùjué
17910,两架,Two,liǎngjià
17911,鲁本,Lu Ben,lǔběn
17912,橙,Orange,chéng
17913,溜冰,ice skating,liūbīng
17914,別開,Not open,biékāi
17915,送出去,send out,sòngchūqù
17916,众,Public,zhòng
17917,小女生,Little girl,xiǎon3shēng
17918,线条,line,xiàntiáo
17919,有理,rational,yǒulǐ
17920,赎回,redemption,shúhuí
17921,基斯,Kius,jīsī
17922,关头,Shut down,guāntóu
17923,来袭,Hit,láixí
17924,瑟斯,Susse,sèsī
17925,撑不住,Can't help,chēngbuzhù
17926,第六感,Sixth sense,dìliùgǎn
17927,破灭,Destroy,pòmiè
17928,條,strip,tiáo
17929,凑巧,Make trouble,còuqiǎo
17930,缅因州,Maine,miǎnyīnzhōu
17931,欺負,Bully,qīfu
17932,无动于衷,Indifferent,wúdòngyúzhōng
17933,聽見,hear,tīngjiàn
17934,當心,Beware of,dāngxīn
17935,献祭,Sacrifice,xiànjì
17936,漂流,drifting,piāoliú
17937,跳个,Jump,tiàoge
17938,反弹,Rebound,fǎndàn
17939,保持警惕,Be vigilant,bǎochíjǐngtì
17940,出奇,surprisingly,chūqí
17941,充气,Inflatable,chōngqì
17942,重覆,Recover,chóngfù
17943,地铁站,subway station,dìtiězhàn
17944,高里,High,gāolǐ
17945,吮吸,suck,shǔnxī
17946,殡仪馆,funeral parlor,bìnyíguǎn
17947,低落,low,dīluò
17948,調,Adjust,diào
17949,確是,indeed,quèshì
17950,簍,Basket,lǒu
17951,一个样,A sample,yīgeyàng
17952,军医,Military doctor,jūnyī
17953,珠,Bead,zhū
17954,造物主,Creator,zàowùzhǔ
17955,舰桥,Bridge,jiànqiáo
17956,小区,Community,xiǎoqū
17957,第三天,Third day,dìsāntiān
17958,阿文,Awu,ēwén
17959,御,Royal,yù
17960,洛城,Luo City,luòchéng
17961,飞快,Fast,fēikuài
17962,嫌弃,dislike,xiánqì
17963,萧条,depression,xiāotiáo
17964,冻僵,Frozen,dòngjiāng
17965,甉,Bamboo,甉
17966,流通,Circulation,liútōng
17967,船尾,Stern,chuánwěi
17968,總部,Headquarters,zǒngbù
17969,遜,Inferior,xùn
17970,意念,idea,yìniàn
17971,检察长,Examiner,jiǎncházhǎng
17972,栽,plant,zāi
17973,人气,Popularity,rénqì
17974,招聘,Recruitment,zhāopìn
17975,纸张,Paper,zhǐzhāng
17976,存储,storage,cúnchǔ
17977,开价,Pricker,kāijià
17978,往外,Outward,wǎngwài
17979,沅,Boy,yuán
17980,科研,research,kēyán
17981,消息来源,source,xiāoxiláiyuán
17982,罗伯茨,Roberts,luóbócí
17983,南面,south,nánmiàn
17984,密西西比,Mississippi,mìxīxībǐ
17985,床边,Bedside,chuángbiān
17986,实体,entity,shítǐ
17987,我车,My car,wǒchē
17988,重心,Center of gravity,zhòngxīn
17989,打斷,interrupt,dǎduàn
17990,停战,armistice,tíngzhàn
17991,红军,Red Army,hóngjūn
17992,小兔子,Bunny,xiǎotùzǐ
17993,淮,Huai,huái
17994,代尔,Dalenter,dàiěr
17995,中央公园,central Park,zhōngyānggōngyuán
17996,呛,choke,qiāng
17997,魔術,magic,móshù
17998,小白脸,Small white face,xiǎobáiliǎn
17999,贝鲁特,Beirut,bèilǔtè
18000,来世,Inventory,láishì
18001,中等,medium,zhōngděng
18002,传出,Outgoing,chuánchū
18003,密碼,password,mìmǎ
18004,淑,Lady,shū
18005,當地,local,dāngdì
18006,巨石,Giant stone,jùshí
18007,ざ,Bamboo,ざ
18008,芬恩,Fenn,fēnēn
18009,発,Bamboo,fā
18010,波拉,Polle,bōlā
18011,脱水,Dehydration,tuōshuǐ
18012,自助餐,buffet,zìzhùcān
18013,丽兹,Liz,lìzī
18014,罗德里克,Rodrick,luódélǐkè
18015,奢华,luxurious,shēhuá
18016,两支,Two,liǎngzhī
18017,大主教,archbishop,dàzhǔjiào
18018,年份,years,niánfen
18019,克星,Gratitude,kèxīng
18020,眕,restrain anger,zhěn
18021,乔迪,Jordi,qiáodí
18022,弹壳,Shell,dànké
18023,过渡,transition,guòdù
18024,籇,Bamboo,籇
18025,你闻,You smell,nǐwén
18026,夺冠,Win,duóguàn
18027,朝圣者,Pilgrims,cháoshèngzhě
18028,內部,internal,nèibù
18029,我动,I am moving,wǒdòng
18030,羁绊,Embarrass,jībàn
18031,类固醇,Steroid,lèigùchún
18032,和善,kind,héshàn
18033,飞得,Fly,fēi de
18034,衰退,decline,shuāituì
18035,摔角,wrestling,shuāijiǎo
18036,之死,Death,zhīsǐ
18037,便利,convenient,biànlì
18038,连同,Along with,liántóng
18039,水龙头,Faucet,shuǐlóngtóu
18040,佩斯,Pace,pèisī
18041,扳手,wrench,bānshǒu
18042,米格尔,Miguel,mǐgéěr
18043,绘制,draw,huìzhì
18044,工藤,Macad,gōngténg
18045,停尸房,Mortuary,tíngshīfáng
18046,所爱,Love,suǒ ài
18047,縫,Seam,féng
18048,南下,South,nánxià
18049,臭死,Smell,chòusǐ
18050,躺下来,lie down,tǎngxiàlái
18051,掩体,bunker,yǎntǐ
18052,垫子,mat,diànzi
18053,小钱,Small money,xiǎoqián
18054,没去,Did not go,méi qù
18055,几英里,A few miles,jǐyīnglǐ
18056,这酒,This wine,zhèjiǔ
18057,虚幻,illusory,xūhuàn
18058,请多关照,Please take care,qǐngduōguānzhào
18059,母女,Female,mǔnǚ
18060,装蒜,Garlic garlic,zhuāngsuàn
18061,保暖,Keep warm,bǎonuǎn
18062,纳西,Naxi,nàxī
18063,拖把,mop,tuōbǎ
18064,肿,swell,zhǒng
18065,你問,You ask,nǐwèn
18066,亞瑟,Arthur,yàsè
18067,今天天气,today's weather,jīntiāntiānqì
18068,澡堂,bathhouse,zǎotáng
18069,颜料,pigment,yánliào
18070,栏杆,railing,lángān
18071,玉子,Jade,yùzǐ
18072,活埋,Burn,huómái
18073,迷幻药,Psychedelic,míhuànyào
18074,太强,Be too strong,tàijiàng
18075,新星,New star,xīnxīng
18076,彷,Imitate,páng
18077,获奖,Award,huòjiǎng
18078,兆头,Sign,zhàotou
18079,嘢,Bamboo,yě
18080,舵,rudder,duò
18081,高高的,high,gāogāode
18082,炫,Dazzle,xuàn
18083,孫子,grandson,sūnzi
18084,哇塞,Wow,wāsāi
18085,手肘,elbow,shǒuzhǒu
18086,纷争,Dispute,fēnzhēng
18087,非礼,indecent,fēilǐ
18088,扑克牌,Playing card,pūkèpái
18089,媚,Charm,mèi
18090,接应,Receive,jiēyìng
18091,船头,Bow,chuántóu
18092,日历,calendar,rìlì
18093,科幻,Sci-fi,kēhuàn
18094,巴拿马,Panama,bānámǎ
18095,甘愿,Wish,gānyuàn
18096,佩克,Pace,pèikè
18097,掩護,cover,yǎnhù
18098,壁画,mural,bìhuà
18099,英军,British army,yīngjūn
18100,乒乓,Ping-pong,pīngpāng
18101,拉普,Lape,lāpǔ
18102,贝格,Burg,bèigé
18103,绝招,Trick,juézhāo
18104,奥斯维辛,Oswitz,àosīwéixīn
18105,в,в,в
18106,感情用事,Emotional,gǎnqíngyòngshì
18107,干员,Businessman,gānyuán
18108,草药,Herbal medicine,cǎoyào
18109,小鸡鸡,Chicken chicken,xiǎojījī
18110,不会错,Not wrong,buhuìcuò
18111,拴,Tie,shuān
18112,近乎,near,jìnhū
18113,每星期,every week,měixīngqī
18114,入手,Start,rùshǒu
18115,桐人,Tongman,tóngrén
18116,那车,Car,nà chē
18117,这出,This out,zhèchū
18118,人干,Man,réngān
18119,矿泉水,mineral water,kuàngquánshuǐ
18120,晉級,Advance level,jìnjí
18121,迷幻,Psychic,míhuàn
18122,案发现场,Crime scene,ànfāxiàncháng
18123,本市,This city,běnshì
18124,分为,Be divided into,fēnwéi
18125,脸部,Face,liǎnbù
18126,泰斯,Tes,tàisī
18127,笔记本电脑,laptop,bǐjìběndiànnǎo
18128,两枪,Two shots,liǎngqiāng
18129,瑿,Bamboo,yī
18130,中将,Middleway,zhōngjiàng
18131,狹,narrow,xiá
18132,乔什,Josh,qiáoshí
18133,挚友,Friend,zhìyǒu
18134,阻挠,Obstruct,zǔnáo
18135,初级,primary,chūjí
18136,全给,All give,quángěi
18137,脾氣,temper,píqi
18138,之眼,Eye,zhīyǎn
18139,話題,topic,huàtí
18140,顺道,Launch,shùndào
18141,機構,mechanism,jīgòu
18142,文森,Wenson,wénsēn
18143,雪地,Snow,xuědì
18144,他本,He,tuòběn
18145,梦中,In a dream,mèngzhōng
18146,沉闷,Dull,chénmèn
18147,决定性,decisive,juédìngxìng
18148,女工,Female worker,nǚgōng
18149,真不容易,really not easy,zhēnburóngyì
18150,绑架案,Kidnapping,bǎngjiààn
18151,重塑,Reshape,chóngsù
18152,机能,function,jīnéng
18153,公交,Bus,gōngjiāo
18154,波林,Bolin,bōlín
18155,洗耳恭听,Tissue,xǐěrgōngtīng
18156,一千块,A thousand pieces,yīqiānkuài
18157,範圍,Scope,fànwéi
18158,署名,signature,shǔmíng
18159,大肆,Big,dàsì
18160,炊,Cooking,chuī
18161,莫伊,Moy,mòyī
18162,起居室,living room,qǐjūshì
18163,奖牌,Medal,jiǎngpái
18164,特写,close up,tèxiě
18165,顶嘴,Top,dǐngzuǐ
18166,紇,knot,hé
18167,忘恩负义,ungrateful,wàngēnfùyì
18168,时差,jet lag,shíchā
18169,要告,Promise,yàogào
18170,報仇,revenge,bàochóu
18171,传话,Talk,chuánhuà
18172,临冬城,Winter City,líndōngchéng
18173,忍着,Endure,rěnzháo
18174,贵人,Noble,guìrén
18175,温妮,Wen Ni,wēnnī
18176,结冰,freeze,jiébīng
18177,别打我,do not hit me,biédǎwǒ
18178,加文,Gavin,jiāwén
18179,上游,Upstream,shàngyóu
18180,听够,Listen enough,tīnggòu
18181,米莉,Moli,mǐlì
18182,不論,whether,bùlùn
18183,字面上,Literal,zìmiànshàng
18184,难说,Hard to say,nánshuō
18185,隱瞞,hide,yǐnmán
18186,这关,This off,zhèguān
18187,波普,Pop,bōpǔ
18188,主编,Editor,zhǔbiān
18189,办事处,office,bànshìchù
18190,好爽,Solemn,hǎoshuǎng
18191,名号,Name,mínghào
18192,蒙哥马利,Montgomery,ménggēmǎlì
18193,唐人街,Chinatown,tángrénjiē
18194,我米,Me rice,wǒmǐ
18195,下葬,Burial,xiàzàng
18196,苏黎世,Zurich,sūlíshì
18197,维生素,Vitamin,wéishēngsù
18198,私底下,Under private,sīdǐxia
18199,大白天,Big day,dàbáitiān
18200,泄密,Leak,xièmì
18201,这待,Wait for this,zhèdài
18202,法定,legal,fǎdìng
18203,风向,wind direction,fēngxiàng
18204,說些,Say,shuōxiē
18205,校友,Alumni,xiàoyǒu
18206,独裁,dictatorship,dúcái
18207,强森,Strong,jiàngsēn
18208,公元前,B.C.,gōngyuánqián
18209,小敏,Small sensitive,xiǎomǐn
18210,儿时,Childhood,érshí
18211,收成,harvest,shōuchéng
18212,豬,pig,zhū
18213,蝴,butterfly,hú
18214,他花,He,tuòhuā
18215,这船,This boat,zhèchuán
18216,沒想,Not think,méi xiǎng
18217,水母,Parent,shuǐmǔ
18218,问个问题,Ask a question,wèngewèntí
18219,遠離,keep away,yuǎnlí
18220,左撇子,left handed,zuǒpiězi
18221,人形,Humanoid,rénxíng
18222,埃莉诺,Eleano,āilìnuò
18223,不轻,Not light,bù qīng
18224,击,hit,jī
18225,鼻孔,nostril,bíkǒng
18226,一亿,One million,yīyì
18227,下结论,Conclusion,xiàjiélùn
18228,水桶,bucket,shuǐtǒng
18229,泰尔,Tel,tàiěr
18230,日本鬼子,Jap,rìběnguǐzi
18231,门卫,Guard,ménwèi
18232,不仅如此,Not only that,bùjǐnrúcǐ
18233,算上,Calculate,suànshàng
18234,方言,dialect,fāngyán
18235,署长,Director,shǔzhǎng
18236,全斗焕,Full,quándòuhuàn
18237,憔悴,Wanny,qiáocuì
18238,珍妮佛,Jennifer,zhēnnīfó
18239,作曲,Composer,zuòqǔ
18240,销量,Sell,xiāoliàng
18241,罗纳德,Ronald,luónàdé
18242,竹子,bamboo,zhúzi
18243,哪间,Which,nǎjiān
18244,小胡子,Beard,xiǎohúzǐ
